Fire_Name,County,City,Lat,Lng,Start_Date,End_Date,Agency,Acres,Cause
SLIDE,San Bernardino,San Bernardino,34.1083,-117.2898,10/22/2007,10/31/2007,USFS,12759,UI
AMMO FIRE,San Diego,San Diego,32.7174,-117.1628,10/23/2007,10/28/2007,MIL.,21004,UI
POOMACHA,San Diego,San Diego,32.7174,-117.1628,10/23/2007,11/11/2007,CDF,49410,MISC.
JACK,Mariposa,Yosemite Valley,37.7344,-119.6065,10/29/2007,12/15/2007,NPS,1108,LIGHTNING
O'HARRELL,Mono,Mammoth Lakes,37.6433,-118.9669,10/30/2007,11/15/2007,USFS,560,LIGHTNING
CORRAL,Los Angeles,Los Angeles,34.0549,-118.2445,11/24/2007,11/27/2007,CDF,4901,HUMAN
"CONTROL BURN, GEYSERS",Lake,Lakeport,39.043,-122.9159,2/13/2008,2/13/2008,LOCAL,400,DEBRIS
BLUFF,Inyo,Bishop,37.365,-118.3947,3/16/2008,3/20/2008,CDF,680,CAMPFIRE
WAWONA NW,Mariposa,Yosemite Valley,37.7344,-119.6065,4/9/2008,4/19/2008,"NPS, USFS",1130,0
JOHNSON VMP,Riverside,Riverside,33.9534,-117.3962,4/11/2008,5/29/2008,LOCAL,424,DEBRIS
SANTA ANITA,Los Angeles,Los Angeles,34.0549,-118.2445,4/26/2008,5/2/2008,OCAL/LAC,584,1
APACHE,Riverside,Riverside,33.9534,-117.3962,4/29/2008,5/4/2008,USFS,769,SMOKING
HONEY BEE,Tulare,Camp Nelson,36.1427,-118.6093,5/6/2008,5/23/2008,USFS,1225,LIGHTNING
COLYEAR,Tehama,Red Bluff,40.1785,-122.2359,5/6/2008,5/9/2008,CDF,1331,DEBRIS
BIGHORN,Los Angeles,Los Angeles,34.0549,-118.2445,5/14/2008,5/21/2008,USFS,490,MISC.
AVOCADO,Fresno,Fresno,36.7394,-119.7849,5/20/2008,5/21/2008,CDF,1100,EQUIP
GATOS,Fresno,Fresno,36.7394,-119.7849,5/22/2008,5/22/2008,CDF,331,POWERLINES
SUMMIT,Santa Cruz,Felton,37.0513,-122.0733,5/22/2008,5/27/2008,CDF,4270,UI
JOHNSON VMP,Riverside,Riverside,33.9534,-117.3962,5/28/2008,5/29/2008,CDF,424,EQUIP
CLOVER,Tulare,Camp Nelson,36.1427,-118.6093,5/28/2008,7/20/2008,USFS,15300,LIGHTNING
85,Sonoma,Sonoma,38.2931,-122.4577,6/5/2008,6/6/2008,CDF,322,POWER EQUIP
GRAPEVINE,Kern,Bakersfield,35.3739,-119.0195,6/6/2008,6/8/2008,CDF/CC,507,UI
